symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,lattice_constant,melting_point,specific_heat,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,heat_of_formation,covalent_radius_slater,vdw_radius_uff,vdw_radius_mm3,abundance_crust,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_radius_rahm,covalent_radius_pyykko_double,mendeleev_number,pettifor_number,glawe_number
Rn,86,,,211.4,4.4,35.0,,202.0,0.094,220.00000000000003,150.0,142.0,,,,476.5,243.00000000000003,4e-13,0.195772,240.0,408.0,222.0,243.00000000000003,145.0,117,6.0,6.0
Fr,87,,,950.0,,317.8,,300.0,,348.0,260.0,223.0,0.7,,,490.00000000000006,364.0,,0.08731,,,223.0,258.0,218.0,6,7.0,7.0
Ra,88,,45.0,1413.0,5.5,246.0,,973.0,0.12,283.0,221.0,201.0,0.9,159.0,215.0,367.7,327.0,9.000000000000001e-07,0.09789,,,226.0,292.0,173.0,10,13.0,13.0
Ac,89,188.0,22.54,3470.0,,203.0,5.31,1320.0,,247.00000000000003,215.0,186.0,1.1,406.0,195.0,347.8,308.0,5.5e-10,0.10033,280.0,,227.0,293.0,153.0,14,48.0,33.0
Th,90,180.0,19.8,5060.0,11.78,217.0,5.08,2028.0,0.113,245.00000000000003,206.0,175.0,1.3,602.0,180.0,339.6,274.0,9.6,0.10277,293.0,,232.0377,289.0,143.0,16,47.0,34.0
Pa,91,161.0,15.0,4300.0,15.37,154.0,3.92,2113.0,0.121,243.00000000000003,200.0,169.0,1.5,563.0,180.0,342.4,264.0,1.4e-06,0.12149,288.0,,231.03588,285.0,138.0,18,46.0,35.0
U,92,138.0,12.5,4018.0,19.05,129.0,2.85,1405.5,0.115,241.0,196.0,170.0,1.7,533.0,175.0,339.5,252.0,2.7,0.13207,271.0,,238.02891,283.0,134.0,20,45.0,36.0
Np,93,130.0,21.1,4175.0,20.25,151.0,4.72,913.0,,239.0,190.0,171.0,1.3,464.8,175.0,342.4,252.0,,0.14265,282.0,,237.0,280.0,136.0,22,44.0,37.0
Pu,94,151.0,,3505.0,19.84,132.0,,914.0,,243.00000000000003,187.0,172.0,1.3,345.0,175.0,342.4,252.0,,0.16137,281.0,,244.0,278.0,135.0,24,43.0,38.0
Am,95,173.0,20.8,2880.0,13.67,131.0,,1267.0,,244.0,180.0,166.0,,284.0,175.0,338.1,,,0.17194,283.0,,243.0,276.0,135.0,26,42.0,39.0
Cm,96,299.0,18.28,,13.51,144.0,,1340.0,,245.00000000000003,169.0,166.0,,386.0,,332.6,,,0.17439000000000002,305.0,,247.0,276.0,136.0,28,41.0,40.0
Bk,97,297.0,,,13.25,125.0,,,,244.0,,168.0,,310.0,,333.9,,,0.19315,340.0,,247.0,,139.0,30,40.0,41.0
Cf,98,295.0,,,15.1,122.0,,900.0,,245.00000000000003,,168.0,,196.0,,331.3,,,0.20369,305.0,,251.0,,140.0,32,39.0,42.0
Es,99,292.0,,1130.0,,118.0,,,,245.00000000000003,,165.0,,133.0,,329.9,,,0.21427,270.0,,252.0,,140.0,34,38.0,43.0
Fm,100,290.0,,,,113.0,,1800.0,,245.00000000000003,,167.0,,,,328.6,,,0.22485,,,257.0,,,36,37.0,44.0
Md,101,287.0,,,,109.0,,1100.0,,246.0,,173.0,,,,327.4,,,0.23542,,,258.0,,139.0,38,36.0,45.0
No,102,285.0,,,,110.0,,1100.0,,246.0,,176.0,,,,324.8,,,0.246,,,259.0,,,40,35.0,46.0
Lr,103,282.0,,,,320.0,,,,246.0,,161.0,,,,323.6,,,0.24844,,,262.0,,141.0,42,34.0,47.0
Rf,104,,,,,112.0,,,,,,157.0,,,,,,,,,,267.0,,140.0,46,,
Db,105,,,,,42.0,,,,,,149.0,,,,,,,,,,268.0,,136.0,50,,
Sg,106,,,,,40.0,,,,,,143.0,,,,,,,,,,271.0,,128.0,54,,
Bh,107,,,,,38.0,,,,,,141.0,,,,,,,,,,274.0,,128.0,58,,
Hs,108,,,,,36.0,,,,,,134.0,,,,,,,,,,269.0,,125.0,62,,
Mt,109,,,,,34.0,,,,,,129.0,,,,,,,,,,276.0,,125.0,66,,
Ds,110,,,,,32.0,,,,,,128.0,,,,,,,,,,281.0,,116.0,70,,
Rg,111,,,,,32.0,,,,,,121.0,,,,,,,,,,281.0,,116.0,74,,
Cn,112,,,,,28.0,,,,,,122.0,,,,,,,,,,285.0,,137.0,80,,
Nh,113,,,,,29.0,,,,,,136.0,,,,,,,,,,286.0,,,86,,
Fl,114,,,,,31.0,,,,,,143.0,,,,,,,,,,289.0,,,92,,
Mc,115,,,,,71.0,,,,,,162.0,,,,,,,,,,288.0,,,98,,
Lv,116,,,,,,,,,,,175.0,,,,,,,,,,293.0,,,104,,
Ts,117,,,,,76.0,,,,,,165.0,,,,,,,,,,294.0,,,111,,
Og,118,,,,,58.0,,,,,,157.0,,,,,,,,,,294.0,,,118,,
